City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Acarau,BR,-2.8856,-40.12,78.6,83,7,9.89,['clear sky']
Ayna,PE,-12.65,-73.9167,71.6,35,40,1.54,['light rain']
Vryburg,ZA,-26.9566,24.7284,59.45,53,22,7.49,['few clouds']
Savannakhet,LA,16.566,104.751,78.85,65,48,2.17,['scattered clouds']
Alvorada,BR,-12.48,-49.1247,80.19,55,75,3.42,['broken clouds']
Uray,RU,60.1247,64.7758,48.34,88,11,5.28,['few clouds']
Dong Hoi,VN,17.4833,106.6,75.7,86,37,1.57,['scattered clouds']
Luau,AO,-10.7073,22.2247,71.44,64,63,1.99,['broken clouds']
Pafos,CY,34.7667,32.4167,68.0,49,0,5.75,['clear sky']
Carlyle,US,38.6103,-89.3726,71.01,40,40,19.57,['scattered clouds']
Pangai,TO,-19.8,-174.35,78.8,69,40,26.46,['scattered clouds']
Kizilskoye,RU,52.7255,58.8937,53.17,47,100,2.86,['overcast clouds']
Khuzhir,RU,53.1939,107.3397,30.18,83,55,4.27,['broken clouds']
Floro,NO,61.5996,5.0328,41.0,70,20,10.36,['few clouds']
Manokwari,ID,-0.8667,134.0833,78.85,80,85,3.15,['overcast clouds']
Madaoua,NE,14.073,5.96,90.28,22,15,5.82,['few clouds']
Turayf,SA,31.6725,38.6637,71.6,33,0,11.5,['clear sky']
